t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
0,0,0,0,0,0,0,0,0,31.8825,31.8825,0,0,0,0,0,0,0,0,31.8825,31.8825,0,0,0,0,0,0,0,0,31.8825,31.8825
0.1,0,2.42920593422257e-18,0,0,0,4.85841186844513e-17,0,0,31.8825,31.8825,0,2.47779005290702e-18,0,0,0,4.85841186844513e-17,0,0,31.8825,31.8825,0,2.47779005290702e-18,0,0,0,4.85841186844513e-17,0,0,31.8825,31.8825
0.2,0,9.71682373689026e-18,0,0,0,9.71682373689027e-17,0,0,31.8825,31.8825,0,9.76540785557472e-18,0,0,0,9.71682373689027e-17,0,0,31.8825,31.8825,0,9.76540785557472e-18,0,0,0,9.71682373689027e-17,0,0,31.8825,31.8825
0.3,0,2.18628534080031e-17,0,0,0,1.45752356053354e-16,0,0,31.8825,31.8825,0,2.18628534080031e-17,0,0,0,1.45752356053354e-16,0,0,31.8825,31.8825,0,2.18628534080031e-17,0,0,0,1.45752356053354e-16,0,0,31.8825,31.8825
0.4,0,3.88672949475611e-17,0,0,0,1.94336474737806e-16,0,0,31.8825,31.8825,0,3.89158790662455e-17,0,0,0,1.94336474737806e-16,0,0,31.8825,31.8825,0,3.89158790662455e-17,0,0,0,1.94336474737806e-16,0,0,31.8825,31.8825
0.5,0,6.07301483555642e-17,0,0,0,2.42920593422257e-16,0,0,31.8825,31.8825,0,6.07787324742487e-17,0,0,0,2.42920593422257e-16,0,0,31.8825,31.8825,0,6.07787324742487e-17,0,0,0,2.42920593422257e-16,0,0,31.8825,31.8825
0.6,0,8.74514136320124e-17,0,0,0,2.91504712106708e-16,0,0,31.8825,31.8825,0,8.74514136320125e-17,0,0,0,2.91504712106708e-16,0,0,31.8825,31.8825,0,8.74514136320125e-17,0,0,0,2.91504712106708e-16,0,0,31.8825,31.8825
0.7,0,1.19031090776906e-16,0,0,0,3.40088830791159e-16,0,0,31.8825,31.8825,0,1.1907967489559e-16,0,0,0,3.40088830791159e-16,0,0,31.8825,31.8825,0,1.1907967489559e-16,0,0,0,3.40088830791159e-16,0,0,31.8825,31.8825
0.8,0,1.55469179790244e-16,0,0,0,3.8867294947561e-16,0,0,31.8825,31.8825,0,1.55517763908929e-16,0,0,0,3.8867294947561e-16,0,0,31.8825,31.8825,0,1.55517763908929e-16,0,0,0,3.8867294947561e-16,0,0,31.8825,31.8825
0.9,0,1.96765680672028e-16,0,0,0,4.3725706816006e-16,0,0,31.8825,31.8825,0,1.96765680672028e-16,0,0,0,4.37257068160061e-16,0,0,31.8825,31.8825,0,1.96765680672028e-16,0,0,0,4.37257068160061e-16,0,0,31.8825,31.8825
1,0,2.42920593422256e-16,0,0,0,4.85841186844512e-16,0,0,31.8825,31.8825,0,2.42969177540941e-16,0,0,0,4.85841186844512e-16,0,0,31.8825,31.8825,0,2.42969177540941e-16,0,0,0,4.85841186844512e-16,0,0,31.8825,31.8825
1.1,0,2.9393391804093e-16,0,0,0,5.34425305528964e-16,0,0,31.8825,31.8825,0,2.93982502159615e-16,0,0,0,5.34425305528964e-16,0,0,31.8825,31.8825,0,2.93982502159615e-16,0,0,0,5.34425305528964e-16,0,0,31.8825,31.8825
1.2,0,3.49805654528049e-16,0,0,0,5.83009424213416e-16,0,0,31.8825,31.8825,0,3.49805654528049e-16,0,0,0,5.83009424213416e-16,0,0,31.8825,31.8825,0,3.49805654528049e-16,0,0,0,5.83009424213416e-16,0,0,31.8825,31.8825
1.3,0,4.10535802883613e-16,0,0,0,6.31593542897868e-16,0,0,31.8825,31.8825,0,4.10584387002298e-16,0,0,0,6.31593542897868e-16,0,0,31.8825,31.8825,0,4.10584387002298e-16,0,0,0,6.31593542897868e-16,0,0,31.8825,31.8825
1.4,0,4.76124363107623e-16,0,0,0,6.8017766158232e-16,0,0,31.8825,31.8825,0,4.76172947226307e-16,0,0,0,6.8017766158232e-16,0,0,31.8825,31.8825,0,4.76172947226307e-16,0,0,0,6.8017766158232e-16,0,0,31.8825,31.8825
1.5,0,5.46571335200077e-16,0,0,0,7.28761780266772e-16,0,0,31.8825,31.8825,0,5.46571335200077e-16,0,0,0,7.28761780266772e-16,0,0,31.8825,31.8825,0,5.46571335200077e-16,0,0,0,7.28761780266772e-16,0,0,31.8825,31.8825
1.6,0,6.21876719160977e-16,0,0,0,7.77345898951224e-16,0,0,31.8825,31.8825,0,6.21925303279662e-16,0,0,0,7.77345898951224e-16,0,0,31.8825,31.8825,0,6.21925303279662e-16,0,0,0,7.77345898951224e-16,0,0,31.8825,31.8825
1.7,0,7.02040514990322e-16,0,0,0,8.25930017635676e-16,0,0,31.8825,31.8825,0,7.02089099109007e-16,0,0,0,8.25930017635676e-16,0,0,31.8825,31.8825,0,7.02089099109007e-16,0,0,0,8.25930017635676e-16,0,0,31.8825,31.8825
1.8,0,7.87062722688112e-16,0,0,0,8.74514136320127e-16,0,0,31.8825,31.8825,0,7.87062722688112e-16,0,0,0,8.74514136320128e-16,0,0,31.8825,31.8825,0,7.87062722688112e-16,0,0,0,8.74514136320128e-16,0,0,31.8825,31.8825
1.9,0,8.76943342254348e-16,0,0,0,9.23098255004579e-16,0,0,31.8825,31.8825,0,8.76991926373032e-16,0,0,0,9.2309825500458e-16,0,0,31.8825,31.8825,0,8.76991926373032e-16,0,0,0,9.2309825500458e-16,0,0,31.8825,31.8825
2,0,9.71682373689028e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825,0,9.71730957807712e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825,0,9.71730957807712e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825
2.1,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825
2.2,0,1.17573567216372e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825,0,1.17578425628241e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825,0,1.17578425628241e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825
2.3,0,1.28504993920374e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825,0,1.28509852332243e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825,0,1.28509852332243e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825
2.4,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825
2.5,0,1.51825370888911e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825,0,1.51830229300779e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825,0,1.51830229300779e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825
2.6,0,1.64214321153446e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825,0,1.64219179565314e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825,0,1.64219179565314e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825
2.7,0,1.77089112604826e-15,0,0,0,1.31177120448019e-15,0,0,31.8825,31.8825,0,1.77089112604826e-15,0,0,0,1.3117712044802e-15,0,0,31.8825,31.8825,0,1.77089112604826e-15,0,0,0,1.3117712044802e-15,0,0,31.8825,31.8825
2.8,0,1.9044974524305e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825,0,1.90454603654918e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825,0,1.90454603654918e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825
2.9,0,2.04296219068119e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.04301077479987e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.04301077479987e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825
3,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825
3.1,0,2.3344669027879e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825,0,2.33451548690658e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825,0,2.33451548690658e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825
3.2,0,2.48750687664392e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825,0,2.4875554607626e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825,0,2.4875554607626e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825
3.3,0,2.6356884386315e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.64540526236839e-15,0,0,0,1.60327591658691e-15,0,0,31.8825,31.8825,0,2.64540526236839e-15,0,0,0,1.60327591658691e-15,0,0,31.8825,31.8825
